"","country","year","importValue","politicalStability","governmentEffectiveness","ruleOfLaw"
"59","anguilla",2000,"574",NA,NA,NA
"60","anguilla",2005,"6585",0.87938666343689,1.23509347438812,1.0999493598938
"61","anguilla",2006,"4571",1.04388165473938,1.15898764133453,1.34145057201385
"62","anguilla",2007,"20175",1.00713038444519,1.15359389781952,1.36198043823242
"63","anguilla",2008,"9313",1.00392031669617,1.16121912002563,1.380335688591
"64","anguilla",2009,"3085",0.99561208486557,0.920139789581299,1.38196277618408
"65","anguilla",2010,"23478",1.02395820617676,1.43622696399689,1.36815905570984
"66","antigua and barbuda",1998,"81871",0.294931948184967,0.652129173278809,0.770505905151367
"67","antigua and barbuda",2000,"109354",0.352624952793121,0.643760323524475,0.744377374649048
"68","antigua and barbuda",2002,"26727",0.301945984363556,0.718024492263794,0.677503168582916
"69","antigua and barbuda",2003,"56617",0.272683441638947,0.853680193424225,0.652858912944794
"70","antigua and barbuda",2004,"107834",0.561780393123627,1.14602816104889,0.546139359474182
"71","antigua and barbuda",2005,"161328",0.545929074287415,0.853083848953247,0.559490859508514
"72","antigua and barbuda",2006,"816134",0.657842636108398,0.840201318264008,0.597642958164215
"73","antigua and barbuda",2007,"96984",0.567539572715759,0.832733750343323,0.6077840924263
"74","antigua and barbuda",2008,"69343",0.601382076740265,0.844783961772919,0.622406959533691
"75","antigua and barbuda",2009,"77974",0.599762797355652,0.745509147644043,0.634231328964233
"76","antigua and barbuda",2010,"118453",0.512558341026306,0.931939363479614,0.628227829933167
"77","argentina",1996,"9501701",0.294570922851562,0.023260697722435,0.622265994548798
"78","argentina",1998,"13835545",0.165702700614929,-0.181680873036385,0.589980781078339
"79","argentina",2000,"11710222",0.306655138731003,0.0482401624321938,0.285203248262405
"80","argentina",2002,"4466139",0.164170697331429,-0.858247458934784,-0.937640011310577
"81","argentina",2003,"3722610",0.328085482120514,-0.380413413047791,-0.719317376613617
"82","argentina",2004,"6115174",0.339380234479904,-0.570739090442657,-0.691808998584747
"83","argentina",2005,"5605916",0.241150841116905,-0.0138748018071055,-0.56761509180069
"84","argentina",2006,"11143014",0.360546082258224,0.0173290390521288,-0.660880267620087
"85","argentina",2007,"8316377",0.412575572729111,0.122657634317875,-0.695318579673767
"86","argentina",2008,"12551375",0.307271689176559,-0.0730445459485054,-0.735461235046387
"87","argentina",2009,"11573903",0.244710147380829,-0.235124498605728,-0.846204221248627
"88","argentina",2010,"18459771",0.330236524343491,-0.0872479826211929,-0.75783109664917
"89","armenia",1996,"55526",-0.734484553337097,-0.519977450370789,-0.347591996192932
"90","armenia",1998,"44347",-0.382694900035858,-0.761886358261108,-0.107179515063763
"91","armenia",2000,"979144",-0.413832694292068,-0.802953898906708,-0.134900897741318
"92","armenia",2002,"81499",-0.486377149820328,-0.360572785139084,0.00687316944822669
"93","armenia",2003,"157905",-0.503084897994995,0.206368684768677,0.175381883978844
"94","armenia",2004,"1007969",-0.571844339370728,-0.122763134539127,0.132066935300827
"95","armenia",2005,"495862",-0.595148503780365,-0.0621791854500771,0.0773061811923981
"96","armenia",2006,"442758",-0.741709053516388,-0.279433935880661,0.281320631504059
"97","armenia",2007,"665382",-0.758904933929443,0.110335104167461,0.268401861190796
"98","armenia",2008,"987200",-0.857067048549652,-0.0162545870989561,0.3072849214077
"99","armenia",2009,"1686544",-0.883241176605225,0.229834169149399,0.280700892210007
"100","armenia",2010,"645997",-0.845182061195374,0.0274595338851213,0.298351645469666
"101","aruba",1996,"44356",NA,NA,NA
"102","aruba",1998,"37381",NA,NA,NA
"103","aruba",2000,"23588",NA,NA,NA
"104","aruba",2002,"66462",NA,NA,NA
"105","aruba",2003,"14965",NA,NA,NA
"106","aruba",2004,"78791",0.69955712556839,1.02541160583496,0.730019807815552
"107","aruba",2005,"79095",1.12139999866486,1.41830766201019,0.853330969810486
"108","aruba",2006,"74143",1.04388165473938,1.35763943195343,0.845578849315643
"109","aruba",2007,"137369",1.00713038444519,1.34635925292969,0.859182894229889
"110","aruba",2008,"69815",1.00392031669617,1.36229372024536,0.875049829483032
"111","aruba",2009,"115605",1.22865331172943,1.13880920410156,1.30674171447754
"112","aruba",2010,"7784",1.25685811042786,1.11999261379242,1.36802649497986
"113","australia",1996,"43362536",1.46167922019958,1.33342242240906,1.23354661464691
"114","australia",1998,"43617361",1.4356461763382,1.00659418106079,1.42725586891174
"115","australia",2000,"45654474",1.51477670669556,1.26030564308167,1.59700751304626
"116","australia",2002,"33550557",1.42316615581512,1.11189222335815,1.44424211978912
"117","australia",2003,"37917395",1.43461740016937,0.849945545196533,1.58402562141418
"118","australia",2004,"36525531",1.52232110500336,0.919686675071716,1.73434197902679
"119","australia",2005,"50823435",1.52468609809875,0.878437280654907,1.59792327880859
"120","australia",2006,"91935572",1.42071831226349,0.918026447296143,1.61837410926819
"121","australia",2007,"76795149",1.39741146564484,0.927785217761993,1.67501854896545
"122","australia",2008,"147994453",1.4012393951416,0.950262188911438,1.75779020786285
"123","australia",2009,"162454022",1.40390586853027,0.826965749263763,1.81693613529205
