"","country","years","gdps"
"150","latin america and the caribbean","2006","3350022987997.25"
"151","latin america and the caribbean","2005","2857811085312.46"
"152","latin america and the caribbean","2004","2362209392900.85"
"153","latin america and the caribbean","2003","2058521852185.02"
"154","latin america and the caribbean","2002","1997943231030.48"
"155","latin america and the caribbean","2001","2255879804536.22"
"156","latin america and the caribbean","2000","2312124021491.29"
"157","mexico and central america","2012",NA
"158","mexico and central america","2011",NA
"159","mexico and central america","2010",NA
"160","mexico and central america","2009",NA
"161","mexico and central america","2008",NA
"162","mexico and central america","2007",NA
"163","mexico and central america","2006",NA
"164","mexico and central america","2005",NA
"165","mexico and central america","2004",NA
"166","mexico and central america","2003",NA
"167","mexico and central america","2002",NA
"168","mexico and central america","2001",NA
"169","mexico and central america","2000",NA
"170","mexico","2012","1186460890129.93"
"171","mexico","2011","1170085556895.86"
"172","mexico","2010","1051627949327"
"173","mexico","2009","895313142212.023"
"174","mexico","2008","1099073123654.95"
"175","mexico","2007","1043394940067.71"
"176","mexico","2006","966735935557.751"
"177","mexico","2005","866346483685.297"
"178","mexico","2004","770267585947.191"
"179","mexico","2003","713284260879.765"
"180","mexico","2002","741559499084.745"
"181","mexico","2001","724703571306.821"
"182","mexico","2000","683647980782.407"
"183","nicaragua","2012","10644973605.6433"
"184","nicaragua","2011","9898547557.7833"
"185","nicaragua","2010","8938210559.83218"
"186","nicaragua","2009","8380736989.60151"
"187","nicaragua","2008","8491371522.66943"
"188","nicaragua","2007","7458167330.67729"
"189","nicaragua","2006","6786340352.87422"
"190","nicaragua","2005","6322582497.35619"
"191","nicaragua","2004","5795568202.50505"
"192","nicaragua","2003","5322437647.57853"
"193","nicaragua","2002","5224213018.8925"
"194","nicaragua","2001","5323146567.74198"
"195","nicaragua","2000","5107329009.66642"
"196","panama","2012","37956200000"
"197","panama","2011","33270500000"
"198","panama","2010","28814100000"
"199","panama","2009","25925100000"
"200","panama","2008","24884000000"
"201","panama","2007","21121900000"
"202","panama","2006","17137000000"
"203","panama","2005","15464700000"
"204","panama","2004","14179300000"
"205","panama","2003","12933200000"
"206","panama","2002","12272400000"
"207","panama","2001","11807500000"
"208","panama","2000","11620500000"
"209","peru","2012","192636058713.622"
"210","peru","2011","170563949735.564"
"211","peru","2010","148509857546.629"
"212","peru","2009","121203519256.308"
"213","peru","2008","121382746565.435"
"214","peru","2007","102172590585.326"
"215","peru","2006","87554128440.367"
"216","peru","2005","74147754854.3689"
"217","peru","2004","65702520515.8265"
"218","peru","2003","57840001637.0339"
"219","peru","2002","53992755100.4998"
"220","peru","2001","51295103188.898"
"221","peru","2000","50681123109.0557"
"222","paraguay","2012","24611040342.6795"
"223","paraguay","2011","25071193102.1055"
"224","paraguay","2010","20030529733.4432"
"225","paraguay","2009","15929903100.3616"
"226","paraguay","2008","18504128632.4505"
"227","paraguay","2007","13794909537.4393"
"228","paraguay","2006","10662013273.2006"
"229","paraguay","2005","8734651405.96572"
"230","paraguay","2004","8033877360.41697"
"231","paraguay","2003","6588103836.34739"
"232","paraguay","2002","6325151760.0669"
"233","paraguay","2001","7662595075.90241"
"234","paraguay","2000","8195993230.74275"
"235","southern cone extended","2012",NA
"236","southern cone extended","2011",NA
"237","southern cone extended","2010",NA
"238","southern cone extended","2009",NA
"239","southern cone extended","2008",NA
"240","southern cone extended","2007",NA
"241","southern cone extended","2006",NA
"242","southern cone extended","2005",NA
"243","southern cone extended","2004",NA
"244","southern cone extended","2003",NA
"245","southern cone extended","2002",NA
"246","southern cone extended","2001",NA
"247","southern cone extended","2000",NA
"248","el salvador","2012","23813600000"
"249","el salvador","2011","23139000000"
"250","el salvador","2010","21418300000"
"251","el salvador","2009","20661000000"
"252","el salvador","2008","21431000000"
"253","el salvador","2007","20104900000"
"254","el salvador","2006","18550700000"
"255","el salvador","2005","17093800000"
"256","el salvador","2004","15798300000"
"257","el salvador","2003","15046700000"
"258","el salvador","2002","14306700000"
"259","el salvador","2001","13812700000"
